,Country or subnational area,2002,2010,2018
147,Samoa *,181.0,284.0,355.0
148,San Marino *,2798.0,3763.0,4340.0
149,São Tomé and Príncipe *,175.0,172.0,214.0
150,Saudi Arabia *,1382.0,1623.0,3520.0
151,Senegal *,82.0,109.0,146.0
152,Serbia *,548.0,1217.0,1485.0
153,Seychelles *,663.0,947.0,1549.0
154,Sierra Leone *,94.0,129.0,257.0
155,Singapore *,1465.0,2268.0,4439.0
156,Slovakia *,733.0,1949.0,2180.0
157,Slovenia *,1624.0,2385.0,3158.0
158,Solomon Islands *,130.0,189.0,108.0
159,South Africa *,572.0,870.0,1129.0
160,South Sudan *,,,114.0
161,Spain *,1673.0,2894.0,3576.0
162,Sri Lanka *,228.0,322.0,517.0
163,Sudan *,90.0,209.0,293.0
164,Suriname *,608.0,696.0,1180.0
165,Sweden *,2543.0,3530.0,5828.0
166,Switzerland *,3839.0,5481.0,8114.0
167,Syria *,172.0,167.0,
168,Tajikistan *,51.0,120.0,250.0
169,Thailand *,273.0,448.0,723.0
170,East Timor *,,126.0,353.0
171,Togo *,33.0,72.0,109.0
172,Tonga *,150.0,242.0,355.0
173,Trinidad and Tobago *,810.0,1581.0,2100.0
174,Tunisia *,347.0,602.0,912.0
175,Turkey *,476.0,881.0,1171.0
176,Turkmenistan *,317.0,487.0,1275.0
177,Tuvalu *,367.0,484.0,758.0
178,Uganda *,89.0,175.0,139.0
179,Ukraine *,280.0,523.0,683.0
180,United Arab Emirates *,2170.0,2103.0,3173.0
181,United Kingdom *,2338.0,3645.0,4620.0
182,Tanzania *,59.0,110.0,112.0
183,United States *,5332.0,7930.0,10624.0
184,Uruguay *,991.0,1445.0,2169.0
185,Uzbekistan *,175.0,268.0,459.0
186,Vanuatu *,80.0,97.0,109.0
187,Venezuela *,842.0,1130.0,384.0
188,Vietnam *,108.0,259.0,440.0
189,Yemen *,163.0,231.0,
190,Zambia *,125.0,122.0,208.0
191,Zimbabwe *,,198.0,198.0
