year,output
01/10/2016,0.5
01/01/2017,0.2
01/04/2017,0
01/07/2017,0.5
01/10/2017,0.1
01/01/2018,-0.5
01/04/2018,0.2
01/07/2018,0.5
01/10/2018,-0.2
01/01/2019,0.2
01/04/2019,-0.4
01/07/2019,0.5
01/10/2019,-0.4
01/01/2020,-2.7
01/04/2020,-19
