rank,country,GDP,obesityRate
1,Kuwait,106,37.9
2,United States of America,20894,36.2
3,Jordan,44,35.5
4,Saudi Arabia,700,35.4
5,Qatar,144,35.1
6,Lebanon,32,33.7
7,Libya,25,32.5
8,Turkey,720,32.1
9,Egypt,365,32
10,United Arab Emirates,359,31.7
